category,name,description,price,image_url
Fruits,موز هندي,موز هندي حلو,"1,250 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-3b2f268a-25c4-47ce-a4d1-7669aa63cf50.jpeg
Fruits,تفاح احمر تركي,تفاح احمر تركي,"2,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-c0f211af-49c0-49dd-a52f-f95539c80e4d.jpeg
Fruits,تفاح اصفر يوناني,تفاح اصفر مستورد يوناني,"2,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-1220186c-a2c5-40ea-bfca-c1018a61dfb9.jpeg
Fruits,تفاح اخضر,تفاح اخضر سكري,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-b7c732d8-6a62-42cb-a4fd-9ff5b3e168d3.jpeg
Fruits,برتقال افريقي,تبرتقال افريقي حلو,"2,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-acc9b4d2-98ff-4c5f-b2f6-568dc02f1c3d.jpeg
Fruits,برتقال سوري,برتقال حلوم سوري,"2,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-767d8f72-774b-499d-8081-1186ce07593c.jpeg
Fruits,برتقال ورقي,برتقال ورقي فريش,"1,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-4db1be7c-ddfe-45e4-b46a-542b88a45f9b.jpeg
Fruits,ليمون افريقي,ليمون حامض افريقي او تركي,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-5ff46974-ef16-4735-a09d-e4fe308ffe93.jpeg
Fruits,ليمون حامض ورقي,ليمون حامض ورقي سوري,"2,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-9eeacf82-1ad9-4436-a7ec-b342e7176e13.jpeg
Fruits,يوسفي فرنسي,يوسفي فرنسي عسل,"1,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-39a15878-4eb5-4e9b-a90e-c4321cd600c1.jpeg
Fruits,يوسفي باكستاني,يوسفي باكستاني حلو,"2,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-f212ffbd-8ca7-48c7-b5a3-e2dd42c7701a.jpeg
Fruits,نوم حلو,نوم حلو مستورد,"4,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-e1fbab97-ee74-419d-a26e-332222c89799.jpeg
Fruits,برتقال ياباني,برتقال ياباني بيبي,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-fc0b4c2a-e494-4350-9be6-4c2c5940ee41.jpeg
Fruits,سندي بوملي,,"3,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-8cb7a2a1-2e2f-44fa-be74-650f36f775aa.jpeg
Fruits,رمان سوري,رمان سوري,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-a4ff1267-02b3-444c-abb8-fc1c4505509f.jpeg
Fruits,مانجا يمنية,مانجا يمنية عسل و خيال و طعم من عالم اخر,"6,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-2059f7f4-f7f6-4d2a-9bae-3387f16beecf.jpeg
Fruits,افوكادو,افوكادو مكسيكي ممتاز,"7,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-024df290-ce10-49af-bf7b-4af337bc7cfb.jpeg
Fruits,عرموط,عرموط مستورد حلو,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-af0ade7d-cfb3-488f-9bf3-60b41f0c558e.jpeg
Fruits,فراولة,فراولة مصرية وزن بالكيلو,"4,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-b7548d52-b5a1-4679-9500-55d29d9964ac.jpeg
Fruits,كيوي,كيوي مستورد,"2,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-7fa4117f-10ab-4a38-8445-b3e45567373e.jpeg
Fruits,كــيــــــــــوي مُـــركب,,IQD,https://dyj6gt4964deb.cloudfront.net/images/crop-d425e130-b599-4a1d-ac60-68adfc73da9e.jpeg
Fruits,ركي احمر,ركي احمر باكستاني,"1,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-c51ab9f2-b222-464d-b743-c79fc80b82fc.jpeg
Fruits,بطيخ,بطيخ مستورد عسل,"1,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-1dc71053-28c1-4fe7-906f-f07e1e0eef79.jpeg
Fruits,انــــانــــــاس,,"5,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-e921735f-2f10-4d7d-88cc-e8fc0be4e555.jpeg
Fruits,جوز الهند,,"2,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-77129a3b-0344-4c70-aa58-74d1778cea09.jpeg
Fruits,عنب,عنب حلو عسل,"2,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-279c8a22-a5e4-4fb7-ac80-c57b16513a1b.jpeg
Fruits,جزر,جزر تركي حلو وفريش,"1,250 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-6c42d99b-87c4-46e5-a045-c938d4da95cd.jpeg
Fruits,شبلوط,كستنــــــاء تـــــركي درجه اولــــــى,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-bced3210-f31e-48f3-85fd-6ed62389bf24.jpeg
